itemCode,itemName,itemType,categoryCode,baseUom,purchaseUom,conversionFactor,defaultLocationCode,preferredSupplierCode,supplierItemCode,lastPurchasePrice,purchaseTaxProfile,reorderLevel,minimumStockLevel,maximumStockLevel,isStockable,isRecipeIngredient,autoDeductionEnabled,standardYieldPercent,departmentUsageScope
RM0204,"Rawas / Indian Salmon",Raw Material,CAT-SEAFOOD,KG,KG,1,LOC-CHILL,SUP-002,SKU-FISH-RAW,1050.00,5% GST,8.0,4.0,25.0,TRUE,TRUE,TRUE,82.0,KITCHEN
RM0205,"Dadha / Indian Threadfin",Raw Material,CAT-SEAFOOD,KG,KG,1,LOC-CHILL,SUP-002,SKU-FISH-DAD,880.00,5% GST,6.0,3.0,20.0,TRUE,TRUE,TRUE,80.0,KITCHEN
RM0206,"Tiger Prawns (Cleaned & Deveined)",Raw Material,CAT-SEAFOOD,KG,KG,1,LOC-CHILL,SUP-002,SKU-SEAF-PRW,850.00,5% GST,15.0,8.0,50.0,TRUE,TRUE,TRUE,70.0,KITCHEN
RM0207,"Mud Crab (Live / Cleaned)",Raw Material,CAT-SEAFOOD,KG,KG,1,LOC-CHILL,SUP-002,SKU-SEAF-CRB,1200.00,5% GST,5.0,2.0,15.0,TRUE,TRUE,TRUE,60.0,KITCHEN
RM0208,"Rock Lobster (Fresh)",Raw Material,CAT-SEAFOOD,KG,KG,1,LOC-CHILL,SUP-002,SKU-SEAF-LOB,2400.00,5% GST,3.0,1.0,10.0,TRUE,TRUE,TRUE,55.0,KITCHEN
RM0301,"Fresh Paneer (Malai)",Raw Material,CAT-DAIRY,KG,KG,1,LOC-CHILL,SUP-003,SKU-DRY-PNR,380.00,5% GST,10.0,5.0,30.0,TRUE,TRUE,TRUE,100.0,KITCHEN
RM0302,"Colocasia Leaves (Alu Leaves)",Raw Material,CAT-PRODUCE,KG,KG,1,LOC-MWH,SUP-004,SKU-VEG-ALU,120.00,0% Exempt,4.0,2.0,15.0,TRUE,TRUE,TRUE,85.0,KITCHEN
RM0303,"Raw Banana (Kacha Kela)",Raw Material,CAT-PRODUCE,KG,KG,1,LOC-MWH,SUP-004,SKU-VEG-RBN,45.00,0% Exempt,6.0,3.0,20.0,TRUE,TRUE,TRUE,75.0,KITCHEN
RM0304,"Raw Jackfruit (Phanas)",Raw Material,CAT-PRODUCE,KG,KG,1,LOC-MWH,SUP-004,SKU-VEG-JFK,90.00,0% Exempt,8.0,4.0,25.0,TRUE,TRUE,TRUE,70.0,KITCHEN
RM0305,"Button Mushrooms",Raw Material,CAT-PRODUCE,KG,PACK,0.25,LOC-CHILL,SUP-004,SKU-VEG-MSH,60.00,0% Exempt,5.0,2.0,15.0,TRUE,TRUE,TRUE,90.0,KITCHEN
RM0306,"Small Brinjal (Vangi)",Raw Material,CAT-PRODUCE,KG,KG,1,LOC-MWH,SUP-004,SKU-VEG-BNJ,50.00,0% Exempt,5.0,2.0,15.0,TRUE,TRUE,TRUE,90.0,KITCHEN
RM0307,"Baby Corn & Cauliflower",Raw Material,CAT-PRODUCE,KG,KG,1,LOC-MWH,SUP-004,SKU-VEG-BCN,110.00,0% Exempt,6.0,3.0,20.0,TRUE,TRUE,TRUE,80.0,KITCHEN
RM0308,"Sprouted Green Gram (Moong)",Raw Material,CAT-PRODUCE,KG,KG,1,LOC-CHILL,SUP-004,SKU-VEG-MNG,140.00,0% Exempt,4.0,2.0,12.0,TRUE,TRUE,TRUE,100.0,KITCHEN
RM0309,"Red & White Onions",Raw Material,CAT-PRODUCE,KG,BAG,50,LOC-MWH,SUP-004,SKU-VEG-ONN,1500.00,0% Exempt,30.0,15.0,150.0,TRUE,TRUE,TRUE,88.0,KITCHEN
RM0310,"Tomatoes (Ripe & Charred)",Raw Material,CAT-PRODUCE,KG,CRATE,25,LOC-MWH,SUP-004,SKU-VEG-TOM,750.00,0% Exempt,20.0,10.0,100.0,TRUE,TRUE,TRUE,92.0,KITCHEN
RM0311,"Fresh Herbs (Coriander, Mint, Parsley)",Raw Material,CAT-PRODUCE,KG,KG,1,LOC-CHILL,SUP-004,SKU-VEG-HRB,160.00,0% Exempt,5.0,2.0,15.0,TRUE,TRUE,TRUE,80.0,KITCHEN
RM0312,"Green Chillies & Byadagi Chillies",Raw Material,CAT-PRODUCE,KG,KG,1,LOC-MWH,SUP-004,SKU-VEG-CHL,120.00,0% Exempt,6.0,3.0,25.0,TRUE,TRUE,TRUE,95.0,KITCHEN
RM0313,"Fresh Coconut (Gratable)",Raw Material,CAT-PRODUCE,PCS,BAG,50,LOC-MWH,SUP-004,SKU-VEG-CCN,1250.00,0% Exempt,30.0,15.0,150.0,TRUE,TRUE,TRUE,75.0,KITCHEN
RM0314,"Fresh Kokum & Kokum Extract",Raw Material,CAT-PRODUCE,KG,KG,1,LOC-MWH,SUP-004,SKU-VEG-KOK,280.00,5% GST,5.0,2.0,20.0,TRUE,TRUE,TRUE,100.0,KITCHEN
RM0401,"Kolam Rice (Steamed)",Raw Material,CAT-GRAIN,KG,BAG,25,LOC-MWH,SUP-003,SKU-GRN-KLM,1450.00,5% GST,50.0,25.0,200.0,TRUE,TRUE,TRUE,100.0,KITCHEN
RM0402,"Indrayani Rice (Sticky)",Raw Material,CAT-GRAIN,KG,BAG,25,LOC-MWH,SUP-003,SKU-GRN-IND,1650.00,5% GST,30.0,15.0,150.0,TRUE,TRUE,TRUE,100.0,KITCHEN
RM0403,"Basmati Rice (Long Grain Biryani)",Raw Material,CAT-GRAIN,KG,BAG,25,LOC-MWH,SUP-003,SKU-GRN-BSM,2850.00,5% GST,40.0,20.0,150.0,TRUE,TRUE,TRUE,100.0,KITCHEN
RM0404,"Rice Flour (Tandalachi Pithi)",Raw Material,CAT-GRAIN,KG,BAG,25,LOC-MWH,SUP-003,SKU-GRN-RFL,1150.00,5% GST,20.0,10.0,80.0,TRUE,TRUE,TRUE,100.0,KITCHEN
RM0405,"Whole Wheat Atta & Maida",Raw Material,CAT-GRAIN,KG,BAG,25,LOC-MWH,SUP-003,SKU-GRN-ATA,980.00,5% GST,30.0,15.0,100.0,TRUE,TRUE,TRUE,100.0,KITCHEN
RM0406,"Millet Flour Mix (Ragi, Jowar, Bajra)",Raw Material,CAT-GRAIN,KG,BAG,10,LOC-MWH,SUP-003,SKU-GRN-MLT,650.00,5% GST,15.0,8.0,50.0,TRUE,TRUE,TRUE,100.0,KITCHEN
RM0407,"Tur Dal & Yellow Lentils",Raw Material,CAT-GRAIN,KG,BAG,30,LOC-MWH,SUP-003,SKU-GRN-TUR,3900.00,5% GST,25.0,12.0,90.0,TRUE,TRUE,TRUE,100.0,KITCHEN
RM0408,"Amul Butter (Unsalted / Salted)",Raw Material,CAT-DAIRY,KG,PACK,0.5,LOC-CHILL,SUP-003,SKU-DRY-BUT,260.00,12% GST,15.0,8.0,50.0,TRUE,TRUE,TRUE,100.0,KITCHEN
RM0409,"Desi Cow Ghee (Pure)",Raw Material,CAT-OIL,KG,TIN,15,LOC-MWH,SUP-003,SKU-OIL-GHE,9800.00,12% GST,10.0,5.0,45.0,TRUE,TRUE,TRUE,100.0,KITCHEN
RM0410,"Pressed Mustard Oil & Coconut Oil",Raw Material,CAT-OIL,LTR,TIN,15,LOC-MWH,SUP-003,SKU-OIL-MST,2850.00,5% GST,15.0,8.0,60.0,TRUE,TRUE,TRUE,100.0,KITCHEN
RM0411,"Coconut Milk & Cream",Raw Material,CAT-DAIRY,LTR,BOX,12,LOC-MWH,SUP-003,SKU-DRY-CCM,1800.00,12% GST,24.0,12.0,96.0,TRUE,TRUE,TRUE,100.0,KITCHEN
RM0501,"Kasundi Mustard Paste",Raw Material,CAT-SPICE,KG,JAR,1,LOC-MWH,SUP-003,SKU-SPC-KAS,320.00,12% GST,3.0,1.0,12.0,TRUE,TRUE,TRUE,100.0,KITCHEN
RM0502,"Goan Toddy Vinegar / Sugarcane Vinegar",Raw Material,CAT-SPICE,LTR,BOTTLE,0.75,LOC-MWH,SUP-003,SKU-SPC-VNG,180.00,12% GST,6.0,3.0,24.0,TRUE,TRUE,TRUE,100.0,KITCHEN
RM0503,"Triphal & Whole Black Peppercorns",Raw Material,CAT-SPICE,KG,KG,1,LOC-MWH,SUP-003,SKU-SPC-PEP,850.00,5% GST,3.0,1.5,15.0,TRUE,TRUE,TRUE,100.0,KITCHEN
RM0504,"Poppy Seeds (Khas Khas) & Mustard Seeds",Raw Material,CAT-SPICE,KG,KG,1,LOC-MWH,SUP-003,SKU-SPC-POP,1400.00,5% GST,2.0,1.0,10.0,TRUE,TRUE,TRUE,100.0,KITCHEN
SF0001,"Signature Damao Masala Paste",Semi Finished,CAT-PREP,KG,KG,1,LOC-CHILL,SUP-001,SKU-PREP-DAM,350.00,0% Exempt,5.0,2.0,25.0,TRUE,TRUE,TRUE,95.0,KITCHEN
SF0002,"Goan Recheado Red Spice Paste",Semi Finished,CAT-PREP,KG,KG,1,LOC-CHILL,SUP-001,SKU-PREP-RCH,380.00,0% Exempt,4.0,2.0,20.0,TRUE,TRUE,TRUE,95.0,KITCHEN
SF0003,"Goan Green Cafreal Herb Marinade",Semi Finished,CAT-PREP,KG,KG,1,LOC-CHILL,SUP-001,SKU-PREP-CAF,290.00,0% Exempt,4.0,2.0,20.0,TRUE,TRUE,TRUE,95.0,KITCHEN
SF0004,"Mangalorean Ghee Roast Masala",Semi Finished,CAT-PREP,KG,KG,1,LOC-CHILL,SUP-001,SKU-PREP-GHE,450.00,0% Exempt,3.0,1.5,15.0,TRUE,TRUE,TRUE,95.0,KITCHEN
SF0005,"Goan Xacuti Roasted Coconut Masala",Semi Finished,CAT-PREP,KG,KG,1,LOC-CHILL,SUP-001,SKU-PREP-XAC,310.00,0% Exempt,4.0,2.0,20.0,TRUE,TRUE,TRUE,95.0,KITCHEN
SF0006,"Malvani Roasted Coconut Rassa Base",Semi Finished,CAT-PREP,KG,KG,1,LOC-CHILL,SUP-001,SKU-PREP-MLV,280.00,0% Exempt,5.0,2.5,25.0,TRUE,TRUE,TRUE,95.0,KITCHEN
SF0007,"Signature House Green Dip (Molho Verde)",Semi Finished,CAT-PREP,KG,KG,1,LOC-CHILL,SUP-001,SKU-DIP-GRN,240.00,0% Exempt,3.0,1.5,15.0,TRUE,TRUE,TRUE,98.0,KITCHEN
SF0008,"Signature House Red Pepper Dip",Semi Finished,CAT-PREP,KG,KG,1,LOC-CHILL,SUP-001,SKU-DIP-RED,260.00,0% Exempt,3.0,1.5,15.0,TRUE,TRUE,TRUE,98.0,KITCHEN
SF0009,"Signature Mustard Coconut Dip",Semi Finished,CAT-PREP,KG,KG,1,LOC-CHILL,SUP-001,SKU-DIP-WHT,280.00,0% Exempt,3.0,1.5,15.0,TRUE,TRUE,TRUE,98.0,KITCHEN
RM0601,"Goan Poi Breads (Traditional)",Raw Material,CAT-GRAIN,PCS,PACK,10,LOC-MWH,SUP-003,SKU-BRD-POI,80.00,5% GST,30.0,15.0,100.0,TRUE,TRUE,TRUE,100.0,KITCHEN
PKG0001,"Millet Papads (Jowar, Bajra, Ragi)",Packaging,CAT-PKG,PACK,BOX,20,LOC-MWH,SUP-003,SKU-PKG-PPD,600.00,12% GST,10.0,5.0,40.0,TRUE,TRUE,TRUE,100.0,KITCHEN
PKG0002,"Natural Charcoal Briquettes (Grill)",Consumable,CAT-CONS,KG,BAG,20,LOC-MWH,SUP-003,SKU-CNS-CHR,1100.00,18% GST,40.0,20.0,150.0,TRUE,FALSE,TRUE,100.0,KITCHEN
